content,date,rating,title,author
"The seafood risotto was creamy perfection! Generous portion of prawns and mussels. Our server was knowledgeable about the menu and made great suggestions. The restaurant was clean and well-maintained.",2026-01-20,5,Seafood heaven,Claire B
"Disappointing visit. The fish was clearly not fresh - had that fishy smell that screams old. Service was slow and our waiter seemed disinterested. Expected better for these prices.",2026-01-18,2,Fresh fish? Think again,Mark D
"Excellent breakfast spot! The eggs benedict were cooked perfectly and the hollandaise was divine. Coffee was strong and flavorful. Great way to start a day of exploring.",2026-01-15,5,Best breakfast in town,Australian Visitor
"The kids menu is fantastic - finally a restaurant that takes children's meals seriously. Not just nuggets and chips! Staff were patient with our fussy toddler. Family-friendly atmosphere.",2026-01-12,4,Great for families,Mom of Three
"Absolutely rude staff. We asked politely about vegetarian options and the waiter rolled his eyes. The mushroom risotto was cold when it arrived. Manager didn't seem to care about our complaint.",2026-01-10,1,Rude and unprofessional,Vegetarian Diner
"The wine selection is impressive - one of the best in Cape Town. The sommelier helped us find a perfect Stellenbosch red to pair with our lamb. Food was good but the wine stole the show.",2026-01-08,4,Wine lovers paradise,Wine Enthusiast
"Came for a business lunch. The set menu was good value but portions were quite small. Service was efficient which was appreciated. Clean toilets which is always a plus!",2026-01-05,3,Decent business lunch,Corporate Client
"This place needs a deep clean. Sticky menus, dirty tables, and spotted a cockroach near the bar. The food might be good but I couldn't get past the hygiene issues. Reported to management.",2026-01-03,1,Cleanliness is a problem,Health Conscious
"The chef came out to discuss dietary requirements - such personal service! My gluten-free meal was thoughtfully prepared and absolutely delicious. Felt like a VIP. Highly recommend!",2025-12-28,5,Outstanding dietary accommodation,Celiac Diner
"Middle of the road experience. Food was tasty but took ages to arrive. The view somewhat compensates for the slow service. Would consider returning but not in a rush to do so.",2025-12-25,3,Christmas lunch was okay,Holiday Diner
"The prawn curry was spicy perfection! Authentic flavors and generous prawns. Service could have been a bit faster but the food quality makes up for it. Will definitely order this again.",2025-12-22,4,Spicy and satisfying,Curry Lover
"Booked for a group of 10 and they couldn't get any of our orders right. Total chaos in the kitchen it seemed. Several dishes came out cold. Disappointing for a supposedly premium restaurant.",2025-12-20,2,Group bookings are a mess,Party Organizer
"Simple and delicious. Had the grilled linefish of the day with a side salad - perfectly cooked and fresh. No complaints about service or ambiance. Exactly what I wanted for lunch.",2025-12-18,4,Fresh and simple,Seafood Fan
"The cocktails here are creative and delicious! The bartender made us custom drinks based on our preferences. Food was secondary but still quite good. Great spot for pre-dinner drinks.",2025-12-15,4,Fantastic cocktails,Cocktail Connoisseur
"Never again. We were rushed through our meal because they wanted the table for another booking. Felt like cattle being herded. The food was fine but the experience ruined the evening.",2025-12-12,2,Rushed and unwelcome,Disgruntled Diner
